shielded helion mag. mom. to Bohr magneton ratio,-1.158671471000000000000000000000E-03,1.400000000000000000000000000000E-11,
shielded helion mag. mom. to nuclear magneton ratio,-2.127497718000000000000000000000E+00,2.500000000000000000000000000000E-08,
shielded helion to proton mag. mom. ratio,-7.617665580000000000000000000000E-01,1.100000000000000000000000000000E-08,
shielded helion to shielded proton mag. mom. ratio,-7.617861313000000000000000000000E-01,3.300000000000000000000000000000E-09,
shielded proton gyromag. ratio,2.675153268000000000000000000000E+08,6.600000000000000000000000000000E+00,s^-1 T^-1
shielded proton gyromag. ratio over 2 pi,4.257638660000000000000000000000E+01,1.000000000000000000000000000000E-06,MHz T^-1
shielded proton mag. mom.,1.410570499000000000000000000000E-26,3.500000000000000000000000000000E-34,J T^-1
shielded proton mag. mom. to Bohr magneton ratio,1.520993128000000000000000000000E-03,1.700000000000000000000000000000E-11,
shielded proton mag. mom. to nuclear magneton ratio,2.792775598000000000000000000000E+00,3.000000000000000000000000000000E-08,
speed of light in vacuum,2.997924580000000000000000000000E+08,(exact),m s^-1
standard acceleration of gravity,9.806650000000000000000000000000E+00,(exact),m s^-2
standard atmosphere,1.013250000000000000000000000000E+05,(exact),Pa
standard-state pressure,1.000000000000000000000000000000E+05,(exact),Pa
Stefan-Boltzmann constant,5.670373000000000000000000000000E-08,2.100000000000000000000000000000E-13,W m^-2 K^-4
tau Compton wavelength,6.977870000000000000000000000000E-16,6.300000000000000000000000000000E-20,m
tau Compton wavelength over 2 pi,1.110560000000000000000000000000E-16,1.000000000000000000000000000000E-20,m
tau-electron mass ratio,3.477150000000000000000000000000E+03,3.100000000000000000000000000000E-01,
tau mass,3.167470000000000000000000000000E-27,2.900000000000000000000000000000E-31,kg
tau mass energy equivalent,2.846780000000000000000000000000E-10,2.600000000000000000000000000000E-14,J
tau mass energy equivalent in MeV,1.776820000000000000000000000000E+03,1.600000000000000000000000000000E-01,MeV
tau mass in u,1.907490000000000000000000000000E+00,1.700000000000000000000000000000E-04,u
tau molar mass,1.907490000000000000000000000000E-03,1.700000000000000000000000000000E-07,kg mol^-1
tau-muon mass ratio,1.681670000000000000000000000000E+01,1.500000000000000000000000000000E-03,
tau-neutron mass ratio,1.891110000000000000000000000000E+00,1.700000000000000000000000000000E-04,
tau-proton mass ratio,1.893720000000000000000000000000E+00,1.700000000000000000000000000000E-04,
Thomson cross section,6.652458734000000000000000000000E-29,1.300000000000000000000000000000E-37,m^2
triton-electron mass ratio,5.496921526700000000000000000000E+03,5.000000000000000000000000000000E-06,
triton g factor,5.957924896000000000000000000000E+00,7.600000000000000000000000000000E-08,
triton mag. mom.,1.504609447000000000000000000000E-26,3.800000000000000000000000000000E-34,J T^-1
triton mag. mom. to Bohr magneton ratio,1.622393657000000000000000000000E-03,2.100000000000000000000000000000E-11,
triton mag. mom. to nuclear magneton ratio,2.978962448000000000000000000000E+00,3.800000000000000000000000000000E-08,
triton mass,5.007356300000000000000000000000E-27,2.200000000000000000000000000000E-34,kg
triton mass energy equivalent,4.500387410000000000000000000000E-10,2.000000000000000000000000000000E-17,J
triton mass energy equivalent in MeV,2.808921005000000000000000000000E+03,6.200000000000000000000000000000E-05,MeV
triton mass in u,3.015500713400000000000000000000E+00,2.500000000000000000000000000000E-09,u
triton molar mass,3.015500713400000000000000000000E-03,2.500000000000000000000000000000E-12,kg mol^-1
triton-proton mass ratio,2.993717030800000000000000000000E+00,2.500000000000000000000000000000E-09,
unified atomic mass unit,1.660538921000000000000000000000E-27,7.300000000000000000000000000000E-35,kg
von Klitzing constant,2.581280744340000000000000000000E+04,8.400000000000000000000000000000E-06,ohm
weak mixing angle,2.223000000000000000000000000000E-01,2.100000000000000000000000000000E-03,
Wien frequency displacement law constant,5.878925400000000000000000000000E+10,5.300000000000000000000000000000E+04,Hz K^-1
Wien wavelength displacement law constant,2.897772100000000000000000000000E-03,2.600000000000000000000000000000E-09,m K
